Address_street, Новая Заря № 1
Address_street, Новая Заря 3
Address_street, Республиканская – нечетная с № 33 по 41а
Address_street, Учительская № 8
Address_street, Учительская 8/1
Address_street, Учительская 10
Precinct_number,1475
Precinct_place, МБУДО города Новосибирска «Детская музыкальная школа № 3», ул. Авиастроителей, 15а 
Address_street, Лазарева № 35
Address_street, Лазарева четная с № 20 по 34а
Address_street, Новая Заря № 1а
Address_street, Республиканская – четная с № 4 по 12
Address_street, Учительская 2
Precinct_number,1476
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 87», ул. Доватора, 33/4 
Address_street, Гусинобродское шоссе, № 19/1, 21, 23, 23/1, 27, 29, 31

Precinct_number,1477
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 87», ул. Доватора, 33/4 
Address_street, Гусинобродское шоссе, № 11, 13, 17;

Precinct_number,1478
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 87», ул. Доватора, 33/4 
Address_street, Гусинобродское шоссе, № 15, 15/1, 15/2, 17/1, 17/2, 19, 25

Precinct_number,1479
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 197», ул. Липецкая, 25/2 
Address_street, Карбышева
Address_street, Липецкая – четная с № 50 до конца
Address_street, Толбухина № 19
Address_street, Толбухина 21
Address_street, Толбухина 23
Address_street, Толбухина 27
Address_street, Толбухина 29
Address_street, Толбухина 31
Address_street, Толбухина 35
Address_street, Толбухина 37
Address_street, Толбухина 41
Address_street, Толбухина 41/1
Precinct_number,1480
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 197», ул. Липецкая, 25/2 
Address_street, Толбухина № 19
Address_street, Толбухина 21
Address_street, Толбухина 23
Address_street, Толбухина 27
Address_street, Толбухина 29
Address_street, Толбухина 31
Address_street, Толбухина 35
Address_street, Толбухина 37
Address_street, Толбухина 41
Address_street, Толбухина 41/1
Precinct_number,1481
Precinct_place, филиал МБУ ДО Новосибирска «Детско-юношеская спортивная школа № 15», ул. Есенина, 15 
Address_street, Есенина № 8/5
Address_street, Есенина 10/1
Address_street, Есенина 10/2
Address_street, Есенина 25
Address_street, Есенина 27
Address_street, Есенина 29
Address_street, Есенина нечетная с № 1 по 15 (кроме 9/1)
Address_street, Национальная – четная с № 2 по 26 нечетная с № 1 по 19
Address_street, 2-я Национальная
Address_street, Приовражная
Address_street, Трикотажная – четная с № 2 по 20
Address_street,
Address_side, 1-й Трикотажный – четная
Precinct_number,1482
Precinct_place, МБОУ города Новосибирска «Лицей № 113», ул. Бориса Богаткова, 241/1 
Precinct_number,1483
Precinct_place, МБОУ города Новосибирска «Лицей № 113», ул. Бориса Богаткова, 241/1 
Precinct_number,1484
Precinct_place, МБОУ города Новосибирска «Лицей № 113», ул. Бориса Богаткова, 241/1 
Precinct_number,1485
Precinct_place, МБОУ города Новосибирска «Лицей № 113», ул. Бориса Богаткова, 241/1 
Precinct_number,1486
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 7», ул. Адриена Лежена, 22 
Address_street, Адриена Лежена № 3/1
Address_street, Адриена Лежена 5а
Address_street, Адриена Лежена 7/1
Address_street, Бориса Богаткова № 264/1
Address_street, Бориса Богаткова 266/1
Address_street, Бориса Богаткова 266/2
Address_street, Бориса Богаткова 266/3
Address_street, Есенина № 14
Address_street, Есенина 16
Precinct_number,1487
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 7», ул. Адриена Лежена, 22 
Address_street, Адриена Лежена 5
Address_street, Бориса Богаткова № 254
Address_street, Бориса Богаткова 256
Address_street, Бориса Богаткова 258
Address_street, Бориса Богаткова 260
Address_street, Бориса Богаткова 260/1
Address_street, Бориса Богаткова 262
Address_street, Бориса Богаткова 264
Precinct_number,1488
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 7», ул. Адриена Лежена, 22 
Address_street, Бориса Богаткова № 254
Address_street, Бориса Богаткова 256
Address_street, Бориса Богаткова 258
Address_street, Бориса Богаткова 260
Address_street, Бориса Богаткова 260/1
Address_street, Бориса Богаткова 262
Address_street, Бориса Богаткова 264
Precinct_number,1489
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 7», ул. Адриена Лежена, 22 
Address_street, Бориса Богаткова № 248
Address_street, Бориса Богаткова 250
Address_street, Бориса Богаткова 252
Address_street, Кошурникова № 47
Address_street, Кошурникова 47/1
Address_street, Кошурникова 49
Address_street, Кошурникова 51
Address_street, Кошурникова 53
Address_street, Кошурникова 53/1
Address_street, Кошурникова 53/2
Address_street, Кошурникова 55
Address_street, Кошурникова 57
Precinct_number,1490
