Address_place,  города Искитима Новосибирской области
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54)  181
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54)  186
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54)  188
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54)  190
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54)  191
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54)  192
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54)  193
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54)  195
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54)  197
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54)  199
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54)  201
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54)  Томская
Address_street, улица  Комсомольская с № 31 по № 72 (кроме № 54)  Чайкиной.
Precinct_number,1378
Precinct_place,монтажный колледж» 
Precinct_address,монтажный колледж»)  монтажный колледж» 
Address_side, переулок  Весовой
Address_street, улица  Алтайская с № 1 по № 18 1
Address_street, улица  Алтайская с № 1 по № 18 2
Address_street, улица  Алтайская с № 1 по № 18 3
Address_street, улица  Алтайская с № 1 по № 18 4
Address_street, улица  Алтайская с № 1 по № 18 5
Address_street, улица  Алтайская с № 1 по № 18 6
Address_street, улица  Алтайская с № 1 по № 18 7
Address_street, улица  Алтайская с № 1 по № 18 8
Address_street, улица  Алтайская с № 1 по № 18 9
Address_street, улица  Алтайская с № 1 по № 18 10
Address_street, улица  Алтайская с № 1 по № 18 11
Address_street, улица  Алтайская с № 1 по № 18 12
Address_street, улица  Алтайская с № 1 по № 18 13
Address_street, улица  Алтайская с № 1 по № 18 14
Address_street, улица  Алтайская с № 1 по № 18 15
Address_street, улица  Алтайская с № 1 по № 18 16
Address_street, улица  Алтайская с № 1 по № 18 17
Address_street, улица  Алтайская с № 1 по № 18 18
Address_street, улица  Алтайская с № 1 по № 18 19
Address_street, улица  Алтайская с № 1 по № 18 20
Address_street, улица  Алтайская с № 1 по № 18 21
Address_street, улица  Алтайская с № 1 по № 18 22
Address_street, улица  Алтайская с № 1 по № 18 23
Address_street, улица  Алтайская с № 1 по № 18 24
Address_street, улица  Алтайская с № 1 по № 18 3
Address_street, улица  Алтайская с № 1 по № 18 4
Address_street, улица  Алтайская с № 1 по № 18 5
Address_street, улица  Алтайская с № 1 по № 18 6
Address_street, улица  Алтайская с № 1 по № 18 7
Address_street, улица  Алтайская с № 1 по № 18 8
Address_street, улица  Алтайская с № 1 по № 18 9
Address_street, улица  Алтайская с № 1 по № 18 10
Address_street, улица  Алтайская с № 1 по № 18 11
Address_street, улица  Алтайская с № 1 по № 18 12
Address_street, улица  Алтайская с № 1 по № 18 13
Address_street, улица  Алтайская с № 1 по № 18 14
Address_street, улица  Алтайская с № 1 по № 18 15
Address_street, улица  Алтайская с № 1 по № 18 16
Address_street, улица  Алтайская с № 1 по № 18 17
Address_street, улица  Алтайская с № 1 по № 18 18
Address_street, улица  Алтайская с № 1 по № 18 19
Address_street, улица  Алтайская с № 1 по № 18 20
Address_street, улица  Алтайская с № 1 по № 18 21
Address_street, улица  Алтайская с № 1 по № 18 22
Address_street, улица  Алтайская с № 1 по № 18 23
Address_street, улица  Алтайская с № 1 по № 18 24
Address_street, улица  Алтайская с № 1 по № 18 25
Address_street, улица  Алтайская с № 1 по № 18 26
Address_street, улица  Алтайская с № 1 по № 18 27
Address_street, улица  Алтайская с № 1 по № 18 28
Address_street, улица  Алтайская с № 1 по № 18 29
Address_street, улица  Алтайская с № 1 по № 18 30
Address_street, улица  Алтайская с № 1 по № 18 31
Address_street, улица  Алтайская с № 1 по № 18 32
Address_street, улица  Алтайская с № 1 по № 18 33
Address_street, улица  Алтайская с № 1 по № 18 34
Address_street, улица  Алтайская с № 1 по № 18 35
Address_street, улица  Алтайская с № 1 по № 18 36
Address_street, улица  Алтайская с № 1 по № 18 37
Address_street, улица  Алтайская с № 1 по № 18 1а
Address_street, улица  Алтайская с № 1 по № 18 1
Address_street, улица  Алтайская с № 1 по № 18 2
Address_street, улица  Алтайская с № 1 по № 18 3
Address_street, улица  Алтайская с № 1 по № 18 4
Address_street, улица  Алтайская с № 1 по № 18 5
Address_street, улица  Алтайская с № 1 по № 18 6
Address_street, улица  Алтайская с № 1 по № 18 7
Address_street, улица  Алтайская с № 1 по № 18 8
Address_street, улица  Алтайская с № 1 по № 18 9
Address_street, улица  Алтайская с № 1 по № 18 10
Address_street, улица  Алтайская с № 1 по № 18 11
Address_street, улица  Алтайская с № 1 по № 18 12
Address_street, улица  Алтайская с № 1 по № 18 13
Address_street, улица  Алтайская с № 1 по № 18 14
Address_street, улица  Алтайская с № 1 по № 18 15
Address_street, улица  Алтайская с № 1 по № 18 16
Address_street, улица  Алтайская с № 1 по № 18 17
Address_street, улица  Алтайская с № 1 по № 18 18
Address_street, улица  Алтайская с № 1 по № 18 19
Address_street, улица  Алтайская с № 1 по № 18 20
Address_street, улица  Алтайская с № 1 по № 18 21
Address_street, улица  Алтайская с № 1 по № 18 22
Address_street, улица  Алтайская с № 1 по № 18 23
Address_street, улица  Алтайская с № 1 по № 18 24
Address_street, улица  Алтайская с № 1 по № 18 24а
Address_street, улица  Алтайская с № 1 по № 18  Пушкина № 19
Address_street, улица  Алтайская с № 1 по № 18  21
Address_street, улица  Алтайская с № 1 по № 18  22
Address_street, улица  Алтайская с № 1 по № 18  23
Address_street, улица  Алтайская с № 1 по № 18  25
Address_street, улица  Алтайская с № 1 по № 18  26
Address_street, улица  Алтайская с № 1 по № 18  26а
Address_street, улица  Алтайская с № 1 по № 18  27
Address_street, улица  Алтайская с № 1 по № 18  29
Address_street, улица  Алтайская с № 1 по № 18  31
Address_street, улица  Алтайская с № 1 по № 18  33
Address_street, улица  Алтайская с № 1 по № 18  43
Address_street, улица  Алтайская с № 1 по № 18  45
Address_street, улица  Алтайская с № 1 по № 18  Станционная
Address_street, улица  Алтайская с № 1 по № 18  1 Станционная
Address_street, улица  Алтайская с № 1 по № 18   Чернышевского
Precinct_number,1379
Precinct_place, город Искитим ул.Коротеева 1а (помещение муниципального бюджетного общеобразовательного учреждения – Средняя общеобразовательная школа №5 
Precinct_address, ул.Коротеева  1а (помещение муниципального бюджетного общеобразовательного учреждения – Средняя общеобразовательная школа №5 
Address_street, улица  Коротеева № 24
Precinct_number,1380
Precinct_place, город Искитим ул.Пушкина65 (помещение муниципального бюджетного учреждения «Парк культуры и отдыха имени  И.В.Коротеева» 
Precinct_address, ул.Пушкина 65 (помещение муниципального бюджетного учреждения «Парк культуры и отдыха имени  И.В.Коротеева» 
Address_street, улица  Пушкина №№ 28б  36
Address_street, улица  Пушкина №№ 28б  38
Address_street, улица  Пушкина №№ 28б  40
Address_street, улица  Пушкина №№ 28б  42
Address_street, улица  Пушкина №№ 28б  53
Precinct_number,1381
Precinct_place, город Искитим ул.Пушкина79 (помещение ООО «Прогресс» 
Precinct_address, ул.Пушкина 79 (помещение ООО «Прогресс» 
Address_street, улица  Базарная  Больничная
Address_street, улица  Базарная   Линейная
Address_street, улица  Базарная  Логовская
Address_street, улица  Базарная 52
Address_street, улица  Базарная 53
Precinct_number,1382
Precinct_place, город Искитим ул. Советская 221 (помещение жилого дома 
Precinct_address, ул. Советская  221 (помещение жилого дома 
Address_street, улица   Вокзальная  Заречная
Address_street, улица   Вокзальная 16
Address_street, улица   Вокзальная 17
Address_street, улица   Вокзальная 18
Address_street, улица   Вокзальная 19
Address_street, улица   Вокзальная 20
Address_street, улица   Вокзальная 21
Address_street, улица   Вокзальная 22
Address_street, улица   Вокзальная 23
Address_street, улица   Вокзальная 24
Address_street, улица   Вокзальная 25
Address_street, улица   Вокзальная 26
Address_street, улица   Вокзальная 27
Address_street, улица   Вокзальная 28
Address_street, улица   Вокзальная 29
Address_street, улица   Вокзальная 30
Address_street, улица   Вокзальная 31
Address_street, улица   Вокзальная 32
Address_street, улица   Вокзальная 33
